kode,name,nomor
PLU,Palu,174
PMG,Palembang,41
PMK,Pasar Minggu,379
PNN,Pangalengan,268
PNR,Pancor,59
PNW,Penawangan,303
POA,Poasia,372
PPA,Perigi,86
PPK,Pameungpeuk,151
PPN,Pampangan,51
PPS,Panunggangan Pusat,274
PRA,Praya,210
PRB,Purbalingga,382
PRE,Pare-Pare,335
PRI,Parigi,62
PRJ,Purworejo,388
PRN,Panyairan,27
PRO,Purwareja/Klampok,248
PRW,Perawang,370
PSK,Parakansalak,64
PSO,Poso,208
PSP,Pasir Pangairan,376
PST,Pasir Semut,122
PSU,Pringsewu,339
PSY,Pasang Kayu,411
PTA,Pematang Jaya,290
PTD,Pulau Tidung,306
PTK,Pontianak,125
PTM,Patimuan,374
PTN,Patean,270
PTR,Panunggangan Timur,138
PUA,Purwokerto Utara,216
PUN,Pangauban,118
PWA,Purwakarta,225
PWN,Panawangan,121
PWO,Pasar Wajo,286
PYH,Payakumbuh,350
PYN,Piyungan,245
PYP,Paya Pasir,396
RBH,Rembuah,244
RGT,Rengat,353
RJG,Rajeg,385
RKB,Rangkasbitung,20
RMA,Rajamandala,112
RPU,Rawa pitu,301
RSS,Pulau Rimau,308
RTP,Ranto Prapat,304
RUL,Ranca Umbul,253
SAA,Sukamulya,169
SAG,Samarang,117
SBA,Sumbawa,240
SBG,Sumbang,217
SBJ,Sungai Merah,329
SBM,Sukabumi,6
SBN,Serang,282
SBU,Sambahule,289
SBY,Surabaya,24
SDA,Samarinda,281
SDG,Sindangbarang,89
SDH,Sidamulih,287
SDI,Sadasari,47
SDK,Sindangkerta,17
SGB,Sigi Biromaru,346
SGG,Sungsang,68
SGI,Singingi,173
SJA,Singaraja,120
SKA,Sukapura,75
SKI,Sukatali,110
SKN,Susukan,221
SKT,Singkut,124
SKU,Sukamaju,107
SLA,Salatiga,48
SLG,Sembalun,238
SLK,Solok,49
SLM,Sleman,377
SLO,Solo,189
SLS,Solok Selatan,327
SLU,Kota Bangun,140
SMA,Sea,366
SMG,Semarang,26
SMN,Sebamban,172
SMO,Sidomulyo,142
SNG,Sanding,326
SPN,Singaparna,11
SPT,Sampit,212
SRA,Serua,273
SRG,Soreang,226
SRU,Sungai Rangau,223
SSA,Sosa,164
SSD,Siak Sri Indra,371
SSI,Sukasari,106
STG,Sintang,309
SUG,Subang,81
SWG,Sukawening,98
SYA,Sekarmulya,233
SYU,Sidorahayu,234
TAG,Tulung Agung,257
TBG,Teluk Betung,70
TBN,Tambun,85
TCR,Cecar,131
TGA,Tinanggea,230
TGB,Tanjung Balai,34
TGG,Temanggung,256
TGL,Tegal,104
TGT,Tebing Tinggi,35
THG,Tanah Grogot,311
THK,Tuah Karya,331
THS,Tanggul Harapan,358
TJA,Tejakula,247
TJG,Tanjung Pinang,232
TJM,Tanjung Morawa,320
TKL,Takalar,305
TKN,Kuantan,363
TLA,Talaga,58
TLG,Talang,30
TLU,Tegal Lumbu,254
TMN,Taman,389
TNA,Tonra,168
TNT,Ternate,302
TPA,Tanjungpura,165
TPG,Talang Padang,285
TPH,Tanjung Medan,207
TPT,Tapak Tuan,
TRG,Tangerang,73
TRK,Tarakan,392
TRT,Tarans Tiloan,341
TSM,Tasikmalaya,4
TSN,Tugu Selatan,255
TTS,Tete Singi,355
TWU,Tawangmangu,103
UGG,Ujung Gading,227
WAH,Warga Asih,340
WJO,Wajo,214
WKA,Warungkiara,95
WKG,Waringin Kurung(269,
WLN,Waluran,148
WLS,Wadas Lintang,315
WMA,Warung Mangga,297
WNA,Wanaraja,160
WNI,Wonosari,318
WNR,Wonoroto,352
WNS,Wanasigra,19
WSI,Waisili,391
WSO,Wonosobo,181
WSW,Wanasigra Wetan(342,
WTI,Bawang Utara,338
YGY,Yogyakarta,23
JKP,Jakarta Pusat,1
KBY,Kebayoran,10
LTA,Lenteng Agung,45
DPK,Depok,150
KBU,Kubu,413
BGM,Bagik Manis,414
JGB,Jagebob,415
BER,Berau,406
BLL,Boyolali,407
KNT,Keniten,405
MKS,Manokwari Selatan,408
CSG,Ciseeng,409
